ratio  cap/low  exact BASE            (top forms)
1.00     4/0          ИЕРУСАЛИМ        (ИЕРУСАЛИМА:1, Иерусалиму:1, Иерусалима:1)
1.00     4/0          ЗОАРЕ            (Зоаре:4)
1.00     4/0          ВОВ              (Вове:2, Вову:1, Вова:1)
0.99   443/3          ОРЕЛ             (Орла:255, Орел:80, Орлом:79)
0.99   112/1          СУЛАМ            (Сулам:62, Сулама:48, Суламу:2)
0.99    98/1          БИН              (Бины:44, Бина:44, Бину:8)
0.99   160/2          АДАМ             (Адама:78, Адам:63, Адамом:10)
0.99    69/1          ГОСПОД           (Господа:66, Господина:2, Господину:1)
0.99   136/2          ХОХМ             (Хохма:121, Хохмой:7, Хохмы:3)
0.98   178/3          МАЛХУТ           (Малхут:175, МАЛХУТ:3)
0.98    44/1          ХУАН             (Хуан:22, Хуана:19, Хуаном:3)
0.97    29/1          ИКАР             (Икар:15, Икаром:7, Икара:6)
0.97   260/9          КАББАЛ           (Каббала:156, Каббалы:66, Каббале:29)
0.96   954/35         СВЕТ             (Свет:399, Света:307, Светом:130)
0.96   999/38         СВЯТ             (Свят:911, Святой:23, Святого:22)
0.96    23/1          ТИФЕРЕТ          (Тиферет:23)
0.95   430/21         ДУХ              (Духа:205, Дух:101, Духом:66)
0.95    39/2          ВСЕСИЛЬН         (Всесильного:30, Всесильный:5, ВСЕСИЛЬНЫЙ:2)
0.95    93/5          ВСЕЛЕНН          (Вселенной:74, Вселенную:8, Вселенная:7)
0.94   306/18         КЛИ              (Кли:301, КЛИ:5)
0.94    34/2          СОЗДАТЕЛ         (Создателя:14, Создателю:7, Создателем:7)
0.93    13/1          ИКСТЛАН          (Икстлан:9, Икстлана:3, Икстлане:1)
0.93    13/1          БЕРЕШИТ          (Берешит:12, БЕРЕШИТ:1)
0.93   155/12         ДАР              (Дар:97, Дара:47, ДАР:3)
0.92    12/1          КОТ              (Кот:6, Кота:3, Котом:2)
0.92    12/1          АНГЕЛА           (Ангела:12)
